name,category,price,image_url
Coflre Leche/frutilla X 64 Gr,chocolates,2200,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/coflre-lechefrutilla-x-64-gr.webp
Cubanito Avellanas 16 X 29gr,chocolates,1000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/cubanito-avellanas-16-x-29gr.webp
Cubanito Dark 16x29,chocolates,1000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/cubanito-dark-16x29.webp
Cubanitos Leche 16 X 29 Gr,chocolates,1000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/cubanitos-leche-16-x-29-gr.webp
Mani C/ Chocolate Block X40gr,chocolates,2000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/mani-c-chocolate-block-x40gr.webp
Oblea Blanca Bon O Bon 20x30 Gr,chocolates,800,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/oblea-blanca-bon-o-bon-20x30-gr.webp
Oblea Bon O Bon Leche 20 X 30gr,chocolates,800,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/oblea-bon-o-bon-leche-20-x-30gr.webp
Rocklets 18x40gr,chocolates,1000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/rocklets-18x40gr.webp
Rocklets X 20 Gr,chocolates,600,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/rocklets-x-20-gr.webp
Amor X110 Gr,galletas,1500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/amor-x110-gr.webp
Chocolina 250gr,galletas,2200,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/chocolina-250gr.webp
Chocolina X170gr,galletas,1500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/chocolina-x170gr.webp
Cofler Choco Cookies Bañada X 132.8 Gr,galletas,2200,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/cofler-choco-cookies-banada-x-1328-gr.webp
Coquitas X177 Gr,galletas,1800,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/coquitas-x177-gr.webp
Criollitas Original X 100gr,galletas,1000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/criollitas-original-x-100gr.webp
Formis Nueva Cho/ddl X 102 Gr,galletas,1500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/formis-nueva-choddl-x-102-gr.webp
Formis Nueva Cho/ddl X72gr,galletas,1000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/formis-nueva-choddl-x72gr.webp
Formis Nueva Vai/choc X72gr,galletas,1000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/formis-nueva-vaichoc-x72gr.webp
Formis Nueva Vai/fru X72gr,galletas,1000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/formis-nueva-vaifru-x72gr.webp
Formis Vai/chocolate X 102gr,galletas,1500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/formis-vaichocolate-x-102gr.webp
Formis Vai/frutilla X 102gr,galletas,1500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/formis-vaifrutilla-x-102gr.webp
Cereal Mix C/ Cacao 150gr,galletas,2500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/cereal-mix-c-cacao-150gr.webp
Cereal Mix Frutilla 150gr,galletas,2500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/cereal-mix-frutilla-150gr.webp
Rumba X110 Gr,galletas,1200,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/rumba-x110-gr.webp
Cereal Mix Ave/choc X270 Gr,galletas,2500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/cereal-mix-avechoc-x270-gr.webp
Cereal Mix Avena/pasas X207gr,galletas,2500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/cereal-mix-avenapasas-x207gr.webp
Cereal Mix Fru/chia X207gr,galletas,2500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/cereal-mix-fruchia-x207gr.webp
Cereal Mix Sem/chips X207 Gr,galletas,2500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/cereal-mix-semchips-x207-gr.webp
Cofler X 120gr,galletas,1500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/cofler-x-120gr.webp
